,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
129,134.5,13.086279790944385,6.938247712266886,16.88504839397001,10.711519853525553,47.798989873223334,159,199.7546468401487,224
130,45.25,7.590394548326596,-31.76341392693697,8.489936848766442,7.066872778801598,25.192388155425117,158,199.707182320442,216
131,79.5,10.060941497019325,-84.25015216828588,12.768545757599105,8.506004906085742,36.14213562373095,158,200.8679245283019,218
132,266.75,18.429233531487537,-26.90352258998954,26.805392869643235,14.025757043093948,89.18376618407356,158,201.70759137769448,222
133,97.75,11.156126814350138,-20.237463646410987,13.028642266488745,9.816929335925048,38.55634918610404,159,201.36572890025576,220
134,14.75,4.3336224206596095,-44.26349844819981,5.533502573368745,3.389364197193009,13.36396103067893,162,199.11864406779662,222
135,21.0,5.170882945826411,55.16082252525449,7.620039698527778,3.7230765299327357,17.899494936611667,163,197.54761904761904,218
136,8.75,3.3377905890622728,-63.82241947720991,3.8506331747808304,2.9731402470767345,9.82842712474619,158,206.4,229
137,152.75,13.945871807036522,-38.65732819200786,17.858255313799088,12.063500279833764,70.4558441227157,158,203.39443535188215,224
138,47.75,7.797255174810172,-37.46574545280216,9.60552533954095,6.586428603304366,26.48528137423857,158,199.5235602094241,214
139,143.25,13.505242122350568,25.73161045672006,21.096098997136668,10.131870413205883,64.8700576850888,158,201.23211169284468,224
140,136.0,13.159049284959082,-10.586706440897203,15.724680027533392,11.342540181451932,49.74873734152916,158,199.0183823529412,219
141,313.25,19.971036212182124,-2.5480019752425984,22.680943772296438,19.519657390498427,92.89087296526012,158,201.853950518755,222
142,36.25,6.793742230659745,32.6741751600165,8.205847159703742,6.187149130691995,23.606601717798213,161,202.06206896551726,222
143,137.75,13.243441670776848,51.63934718750243,14.584209062200298,12.508876385094554,44.33452377915607,158,203.5716878402904,219
144,224.25,16.89745448009434,-41.98359770563251,20.030019760239014,15.558403338122778,73.57716446627535,158,201.51282051282053,225
145,46.0,7.653039857325812,-86.05942878669391,9.646915978052549,6.356074064925744,27.31370849898476,159,201.47826086956522,225
146,159.5,14.250673927406327,-85.0089255509261,15.721225841310632,13.210007331068361,52.97056274847714,159,202.2319749216301,222
147,17.0,4.652426491681278,-83.0645974544673,6.6488790908953765,3.4546020533145336,15.949747468305832,158,198.86764705882354,222
148,37.5,6.90988298942671,20.610310400364934,9.098245368301761,5.462622294217919,23.485281374238568,159,201.75333333333333,220
149,25.5,5.698035485213008,-15.781294084793,9.043849305137948,3.8532311485570614,20.949747468305834,159,199.2058823529412,222
150,50.5,8.018640596081465,-85.70750168020942,10.197029483098914,6.534676235648883,26.77817459305202,160,199.83168316831683,219
151,52.75,8.19532708223289,-12.579783510085596,8.609868921386518,7.874080995186273,26.020815280171313,159,202.33175355450237,225
152,274.0,18.677998695187732,-44.81901986988699,21.41469888048029,16.788870825831363,71.66904755831213,159,198.67518248175182,225
153,255.5,18.03642713177513,-58.58066780064317,20.58029342603915,19.476482200031807,76.59797974644667,158,199.4628180039139,228
154,236.75,17.362012044001403,-10.83371332568857,19.776603149709718,16.65040982129383,79.23401871576773,158,203.53959873284055,223
155,16.75,4.61809077155419,-69.87068499351737,6.459661660263862,3.372423319383236,15.071067811865476,162,202.28358208955223,231
156,29.0,6.076507779746499,56.95477246579246,7.541500583966758,4.939529899145246,19.60660171779821,161,200.27586206896552,221
157,273.75,18.669475765839028,-63.74546336668049,23.00525536446022,17.94393715455132,100.59797974644667,158,205.71506849315068,233
158,201.75,16.02735405955453,-77.89412008413947,19.338009397763237,13.823082529951865,56.87005768508881,161,205.20941759603468,226
159,37.5,6.90988298942671,39.049867693347466,8.28740899183895,6.066498805533757,23.4350288425444,158,201.77333333333334,227
160,75.5,9.804569629897316,87.73556790195529,14.12787441225905,7.808782670034485,42.55634918610405,160,205.0662251655629,230
161,23.75,5.499039842323396,-88.88932318173897,11.756105515540828,2.625481304930542,23.82842712474619,163,203.3684210526316,217
162,100.5,11.311965976163641,-9.17105152295398,14.957608465850983,10.193149889340793,51.26345596729059,158,200.56716417910448,222
163,180.75,15.170301503624794,40.98733855429379,15.90357618843356,14.647337947845774,53.577164466275356,159,204.38035961272476,220
164,235.25,17.30692355385402,-46.91984806526564,21.11023970971276,15.903065701416416,84.73401871576775,158,203.94261424017003,221
165,63.25,8.97398468933946,-64.09353770199063,10.861578585256085,7.6007497298285065,30.60660171779821,159,205.68774703557312,223
166,99.25,11.24139781410501,82.24676081474631,14.70749959732878,8.745873208894018,38.8492424049175,160,199.92695214105794,221
167,246.0,17.697935698969246,-34.59965649803848,20.640741921530083,15.818172379996971,62.4558441227157,158,201.3119918699187,218
168,176.75,15.001502909106808,73.76136727800427,16.846616009505222,13.958591961869303,56.04163056034262,158,202.17963224893919,217
169,255.25,18.02760088846129,-52.488981684295645,25.652227926650784,14.367310665525464,77.87005768508881,158,206.6562193927522,230
170,7.0,2.985410660720923,6.707476308423121,4.572076078688799,2.003618645755832,9.707106781186548,161,193.10714285714286,212
171,70.5,9.474354220939228,69.60880944621927,11.046632421470795,8.556741513470635,33.67766952966369,160,200.17021276595744,220
172,194.75,15.746853696442757,70.19995717806378,19.461596355446535,13.932952910081786,79.76955262170047,158,204.4813863928113,228
173,68.0,9.304852983362556,-77.71035680249828,12.352591354650972,7.203987041843599,36.020815280171306,159,198.71691176470588,220
174,84.75,10.387831891992912,82.40984683104487,11.57189808095368,9.49496621600091,33.849242404917504,158,206.89675516224187,226
175,58.75,8.6488625410045,-70.24117152159927,11.730548811336645,7.018259897001582,33.67766952966369,160,202.93617021276594,222
176,122.0,12.463355264843006,18.652631120481043,15.821100097209433,10.023745698089373,43.50609665440988,160,202.25819672131146,221
177,65.75,9.149617481968136,81.44370545241857,15.43783678521633,5.4907434563973245,35.19238815542512,158,204.7338403041825,221
178,103.0,11.451797811161432,68.04058724898266,11.989323293159769,11.235592888601442,38.14213562373095,160,206.39805825242718,223
179,61.5,8.848967849484623,75.45749537199045,12.097710929746635,6.611821341809357,30.899494936611664,158,202.03252032520325,229
180,196.0,15.797308339337176,-88.39554574438,19.704247623210115,13.159964836164999,56.162950903902264,158,207.19005102040816,228
181,159.0,14.228319915326999,83.17727350379282,15.274348590565314,13.639313827182,51.45584412271571,158,201.16037735849056,218
182,262.0,18.26441241104166,32.17653133100317,20.540664543873387,16.46743496498477,62.698484809835,159,199.37690839694656,225
183,291.0,19.248706645328987,-81.66963824131987,25.16533629296301,15.431853746474369,69.81980515339464,158,205.96735395189003,226
184,144.5,13.564037533648712,58.8944833440624,16.811843064052127,11.297318197563516,51.748737341529164,158,208.90484429065745,228
185,102.5,11.423968370726268,1.1417882887478075,14.312701075169361,10.67825753606886,50.50609665440988,158,202.77560975609757,225
186,15.5,4.442433223290478,49.383911727522324,6.764001724472595,3.2137836799104758,15.778174593052022,160,199.74193548387098,219
187,314.0,19.994929783493642,-22.9030037423742,24.74279426432749,19.017045727342833,97.87615433949867,159,203.84156050955414,229
188,427.0,23.31680264534386,-83.832177412261,27.774216539954438,26.146180873553355,145.94722215136414,158,208.81498829039813,233
189,77.0,9.901487006738307,32.390345370046425,13.322561067097936,7.632351457820823,34.8492424049175,158,205.71428571428572,231
190,66.0,9.166995688475081,-73.78765865446105,10.853957894489021,7.991420316029623,30.556349186104043,159,205.37878787878788,227
191,113.5,12.02134303343187,-42.373436480123246,17.02568847481178,9.394970198841612,47.09188309203678,158,200.91409691629957,224
192,150.75,13.85427231466257,2.021565407767605,18.212176449524065,10.981889247183368,49.62741699796952,160,208.0597014925373,226
193,60.0,8.740387444736633,28.17472883397535,9.792596456307125,8.065705809132686,33.970562748477136,158,202.43333333333334,225
194,65.5,9.13220620552083,57.10665085166096,12.917958090303623,6.81691546088411,33.09188309203678,161,203.46564885496184,223
195,5.75,2.7057581899030048,-90.00003218077504,2.7026556987687047,2.680180001290859,7.414213562373095,158,195.6086956521739,230
196,40.75,7.203090409536582,25.067755701865774,10.919534972022241,5.3418507588057516,29.14213562373095,158,204.77300613496934,225
197,19.0,4.918490759365935,87.89708464050857,7.180585497136322,3.688080029037735,17.65685424949238,162,211.14473684210526,234
198,138.5,13.279445656570912,-81.1181118821158,17.540518736704616,10.880080716111877,48.384776310850235,158,209.5523465703971,232
199,344.25,20.935919212565754,40.692770946614374,25.11111243052013,19.681011742575016,94.59797974644665,158,206.49310094408133,228
200,129.5,12.84073677960901,-51.161303070434585,15.29531361803198,11.038139302607236,43.16295090390226,160,207.12355212355212,227
201,306.75,19.762748552453708,-75.61561264977809,20.14226459106045,19.771547814987528,79.30508652763321,159,202.91931540342298,222
202,6.25,2.8209479177387813,-69.10103499970626,3.3014881678404193,2.3905179099119325,8.121320343559642,181,205.16,219
203,9.0,3.385137501286538,-56.47904793928723,3.7405201280500666,3.106026088193916,10.121320343559642,169,203.13888888888889,228
204,62.5,8.920620580763856,67.4152616770137,10.423307570280052,7.837671292886847,29.899494936611667,159,205.88,224
205,203.5,16.096715421277896,42.71512539325071,17.012749001608704,15.672910698937216,60.04163056034262,158,206.97542997543,226
206,50.5,8.018640596081465,-89.18600858104304,9.992823732096959,6.581117267127854,26.77817459305202,159,207.91584158415841,224
